storage_class,file_size_mb,upload_time_mean_s,download_time_mean_s,upload_throughput_mbps,download_throughput_mbps,ttfb_mean_ms,upload_download_ratio,total_cost_usd,cost_per_gb_usd,cost_efficiency_mbps_per_cent
GLACIER_IR,1.0,0.3236,0.049,3.0907,20.4026,46.2802,6.6014,0.0001,0.1311,2414187.9866
GLACIER_IR,10.0,0.6108,0.1714,16.3708,58.3398,42.4609,3.5637,0.0009,0.0942,1779030.7623
GLACIER_IR,100.0,1.2803,2.2409,78.1049,44.6252,48.6278,0.5713,0.0088,0.0905,883331.0447
GLACIER_IR,1000.0,9.0289,15.912,110.7554,62.8458,112.3158,0.5674,0.0881,0.0902,125771.4978
INTELLIGENT_TIERING,1.0,0.1057,0.0429,9.4582,23.2971,42.5487,2.4632,0.0001,0.0989,9797219.4412
INTELLIGENT_TIERING,10.0,0.3982,0.2395,25.1139,41.7471,41.146,1.6623,0.0009,0.0916,2808239.8127
INTELLIGENT_TIERING,100.0,1.8273,2.0637,54.7242,48.4556,84.72,0.8855,0.0089,0.0908,616831.1718
INTELLIGENT_TIERING,1000.0,9.2527,18.0786,108.0764,55.3139,103.0291,0.5118,0.0886,0.0908,121917.4448
STANDARD,1.0,0.1161,0.0508,8.6127,19.6716,43.7691,2.284,0.0001,0.0963,9158658.253
STANDARD,10.0,0.3424,0.1191,29.2037,83.9629,41.8278,2.8751,0.0009,0.0913,3274719.52
STANDARD,100.0,1.2838,1.6048,77.8925,62.3114,54.362,0.8,0.0089,0.0908,878223.2403
STANDARD,1000.0,9.6576,16.9308,103.5456,59.0641,78.715,0.5704,0.0886,0.0908,116809.6246
