storage_class,file_size_mb,upload_time_mean_s,upload_time_ci95_s,download_time_mean_s,download_time_ci95_s,upload_throughput_mbps,download_throughput_mbps,ttfb_mean_ms,ttfb_ci95_ms,upload_download_ratio,total_cost_usd,cost_per_gb_usd,cost_efficiency_mbps_per_cent
GLACIER_IR,1.0,0.3236,0.11,0.049,0.0049,3.0907,20.4026,46.2802,11.1119,6.6014,0.0001,0.1311,2414187.9866
GLACIER_IR,10.0,0.6108,0.2104,0.1714,0.0513,16.3708,58.3398,42.4609,8.7535,3.5637,0.0009,0.0942,1779030.7623
GLACIER_IR,100.0,1.2803,0.0917,2.2409,0.1703,78.1049,44.6252,48.6278,8.8382,0.5713,0.0088,0.0905,883331.0447
GLACIER_IR,1000.0,9.0289,0.1846,15.912,1.2043,110.7554,62.8458,112.3158,25.9128,0.5674,0.0881,0.0902,125771.4978
INTELLIGENT_TIERING,1.0,0.1057,0.0216,0.0429,0.0041,9.4582,23.2971,42.5487,9.2019,2.4632,0.0001,0.0989,9797219.4412
INTELLIGENT_TIERING,10.0,0.3982,0.138,0.2395,0.0504,25.1139,41.7471,41.146,7.1033,1.6623,0.0009,0.0916,2808239.8127
INTELLIGENT_TIERING,100.0,1.8273,0.9725,2.0637,0.2684,54.7242,48.4556,84.72,63.5852,0.8855,0.0089,0.0908,616831.1718
INTELLIGENT_TIERING,1000.0,9.2527,0.3361,18.0786,1.7442,108.0764,55.3139,103.0291,23.3267,0.5118,0.0886,0.0908,121917.4448
STANDARD,1.0,0.1161,0.0171,0.0508,0.0101,8.6127,19.6716,43.7691,7.915,2.284,0.0001,0.0963,9158658.253
STANDARD,10.0,0.3424,0.0726,0.1191,0.0062,29.2037,83.9629,41.8278,6.8385,2.8751,0.0009,0.0913,3274719.52
STANDARD,100.0,1.2838,0.374,1.6048,0.0354,77.8925,62.3114,54.362,9.634,0.8,0.0089,0.0908,878223.2403
STANDARD,1000.0,9.6576,0.9745,16.9308,1.2907,103.5456,59.0641,78.715,17.0673,0.5704,0.0886,0.0908,116809.6246
